  0.32   0.11
  1.87   0.22
  3.10   0.15
  4.35   0.21
  5.52   0.29
  6.50   0.33
  7.38   0.44
  8.18   0.46
  9.27   0.43
  10.27   0.40
  11.25   0.55
  12.18   0.34
  13.20   0.38
  14.17   0.39
  15.53   0.42
  16.22   0.41
  17.28   0.35
  18.55   0.33
  19.48   0.20
  20.58   0.22
  21.43   0.18
  22.38   0.26
  23.42   0.20
  24.27   0.20
  25.18   0.34
  26.32   0.38
  27.25   0.33
  28.23   0.34
  29.10   0.33
  30.93   0.47
  31.48   0.41
  32.05   0.47
  33.00   0.46
  34.08   0.44
