  0.77   0.01
  1.70   0.03
  2.55   0.03
  3.45   0.02
  4.80   0.05
  5.55   0.03
  6.42   0.02
  7.45   0.03
  8.35   0.04
  9.48   0.07
  10.57   0.15
  11.50   0.08
  12.43   0.09
  13.47   0.05
  14.40   0.07
  15.82   0.07
  16.63   0.07
  17.43   0.09
  18.58   0.07
  19.55   0.04
  20.35   0.04
  21.23   0.04
  22.62   0.03
  23.38   0.04
  24.38   0.08
  25.33   0.04
  26.35   0.02
  27.37   0.04
  28.35   0.08
  29.23   0.05
  30.32   0.08
  31.20   0.04
  32.27   0.05
  33.22   0.05
  34.42   0.25
