  0.10   0.28
  2.00   0.51
  3.32   0.60
  4.17   0.78
  5.28   0.71
  6.30   0.71
  7.28   0.83
  8.08   0.84
  9.03   0.69
  10.13   0.48
  11.17   0.64
  12.08   0.78
  13.08   0.81
  14.05   0.74
  15.43   0.70
  16.10   0.68
  17.15   0.52
  18.42   0.60
  19.33   0.58
  20.33   0.51
  21.30   0.32
  22.22   0.39
  23.25   0.48
  24.17   0.74
  25.10   0.65
  26.20   0.63
  27.15   0.60
  28.17   0.49
  29.00   0.67
  30.83   0.86
  31.38   0.91
  31.97   0.76
  32.92   0.79
  33.97   0.82
